Tweet,Time,Date,Language,Like,Reply,Retweets,Timestamp
"स्वस्थ बिहार, विकसित बिहार।pic.twitter.com/6SoF08nRLS",04:22:00,17/02/19,hi,9525,778,2601,4:22 AM - 17 Feb 2019
"हमारा प्रयास:

उत्तम इन्फ्रास्ट्रक्चर

गरीब का पक्का घर

हर घर में बिजली

रसोई को धुएं से मुक्त करना- गैस कनेक्शन

पीने का साफ पानी।pic.twitter.com/jMSfvjccNG",04:21:00,17/02/19,hi,16073,1221,3793,4:21 AM - 17 Feb 2019
"आज कई ट्रेनों को हरी झंडी दिखाई। इनसे कनेक्टिविटी में सुधार आएगा। 

पटना रिवरफ्रंट बनने से पर्यटन को बढ़ावा मिलेगा।pic.twitter.com/H4g1hFkf0M",04:21:00,17/02/19,hi,8451,347,2223,4:21 AM - 17 Feb 2019
प्रधानमंत्री ऊर्जा गंगा योजना पूर्वी भारत के विकास में महत्वपूर्ण भूमिका निभा रही है।pic.twitter.com/QGUKBbsZWk,04:20:00,17/02/19,hi,5596,214,1784,4:20 AM - 17 Feb 2019
Ensuring ‘Ease of Living’ for my sisters and brothers of Jharkhand.https://www.pscp.tv/w/bzkq_TMyMjExNTJ8MWVhSmJPdmRhTlJ4WGfLj3kDkDiyyNYoBcnYKNVgPaLJBCYpGV_Tz80BErXh …,02:12:00,17/02/19,en,13186,899,3552,2:12 AM - 17 Feb 2019
Boosting Bihar’s development. Inaugurating multiple projects in Barauni.https://www.pscp.tv/w/bzkH2DMyMjExNTJ8MWRSSlpPbXp2WXZ4QiAkTnGBEpSeGAtMXxhFe_5QizfLHTZv14il0z3SULj8 …,23:42:00,16/02/19,en,17295,1426,5035,11:42 PM - 16 Feb 2019
"This month’s #MannKiBaat programme will take place on the 24th. 

Dial 1800-11-7800 to record a message for the programme. 

Express your wonderful ideas on either the MyGov Open Forum or the NaMo App.https://www.mygov.in/group-issue/inviting-ideas-pm-narendra-modis-mann-ki-baat-24th-february-2019/?utm_source=webcampaign&group_issue&278351 …",19:13:00,16/02/19,en,12449,1079,4015,7:13 PM - 16 Feb 2019
"Will be in Hazaribagh, Jharkhand today to inaugurate:

Three medical college buildings.

Four rural water supply schemes.

Sahibganj Sewerage Treatment Plant

Madhusudan Ghat.

Foundation stone for many projects will also be laid. 

Know more.http://nm-4.com/dlg8 ",19:09:00,16/02/19,en,11091,455,3790,7:09 PM - 16 Feb 2019
"I look forward to being in Bihar’s Barauni. 

The inauguration and laying of foundation stones for projects relating to urban development, sanitation, railways, oil and gas, healthcare as well as fertilisers will take place today.http://nm-4.com/glg8 ",19:08:00,16/02/19,en,24218,1290,5680,7:08 PM - 16 Feb 2019
"Greetings to Telangana’s Chief Minister, Shri K. Chandrashekar Rao Garu on his birthday. May Almighty bless him with a long life filled with good health. @TelanganaCMO",19:06:00,16/02/19,en,16717,373,3073,7:06 PM - 16 Feb 2019
